"sim.ID","param.name","param.stat","param.stat.val"
"SIM_my_test_sim_20231114_143846","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_143846","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_143846","m","mean",0.05
"SIM_my_test_sim_20231114_143846","area.m2","sd",0
"SIM_my_test_sim_20231114_143846","JL","sd",0
"SIM_my_test_sim_20231114_143846","Ef","sd",0.311749648057228
"SIM_my_test_sim_20231114_143846","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_143846","IL","sd",0
"SIM_my_test_sim_20231114_143846","m","sd",0
"SIM_my_test_sim_20231114_143846","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_143846","trait.Ef","mean",0.441978926816955
"SIM_my_test_sim_20231114_143846","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20231114_143846","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_143846","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_143846","trait.Ef","sd",0.251858999185583
"SIM_my_test_sim_20231114_143846","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_143846","regional.RA","sd",0
"SIM_my_test_sim_20231114_144119","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144119","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144119","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144119","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144119","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144119","W.r","fixed_value",0
"SIM_my_test_sim_20231114_144119","area.m2","mean",1
"SIM_my_test_sim_20231114_144119","JL","mean",20000
"SIM_my_test_sim_20231114_144119","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144119","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144119","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144119","m","mean",0.05
"SIM_my_test_sim_20231114_144119","area.m2","sd",0
"SIM_my_test_sim_20231114_144119","JL","sd",0
"SIM_my_test_sim_20231114_144119","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144119","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144119","IL","sd",0
"SIM_my_test_sim_20231114_144119","m","sd",0
"SIM_my_test_sim_20231114_144119","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144119","trait.Ef","mean",0.463730625761673
"SIM_my_test_sim_20231114_144119","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20231114_144119","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144119","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144119","trait.Ef","sd",0.293656143922129
"SIM_my_test_sim_20231114_144119","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144119","regional.RA","sd",0
"SIM_my_test_sim_20231114_144139","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144139","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144139","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144139","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144139","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144139","W.r","fixed_value",2
"SIM_my_test_sim_20231114_144139","area.m2","mean",1
"SIM_my_test_sim_20231114_144139","JL","mean",20000
"SIM_my_test_sim_20231114_144139","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144139","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144139","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144139","m","mean",0.05
"SIM_my_test_sim_20231114_144139","area.m2","sd",0
"SIM_my_test_sim_20231114_144139","JL","sd",0
"SIM_my_test_sim_20231114_144139","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144139","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144139","IL","sd",0
"SIM_my_test_sim_20231114_144139","m","sd",0
"SIM_my_test_sim_20231114_144139","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144139","trait.Ef","mean",0.463730625761673
"SIM_my_test_sim_20231114_144139","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20231114_144139","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144139","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144139","trait.Ef","sd",0.293656143922129
"SIM_my_test_sim_20231114_144139","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144139","regional.RA","sd",0
"SIM_my_test_sim_20231114_144159","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144159","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144159","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144159","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144159","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144159","W.r","fixed_value",5
"SIM_my_test_sim_20231114_144159","area.m2","mean",1
"SIM_my_test_sim_20231114_144159","JL","mean",20000
"SIM_my_test_sim_20231114_144159","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144159","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144159","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144159","m","mean",0.05
"SIM_my_test_sim_20231114_144159","area.m2","sd",0
"SIM_my_test_sim_20231114_144159","JL","sd",0
"SIM_my_test_sim_20231114_144159","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144159","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144159","IL","sd",0
"SIM_my_test_sim_20231114_144159","m","sd",0
"SIM_my_test_sim_20231114_144159","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144159","trait.Ef","mean",0.463730625761673
"SIM_my_test_sim_20231114_144159","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20231114_144159","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144159","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144159","trait.Ef","sd",0.293656143922129
"SIM_my_test_sim_20231114_144159","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144159","regional.RA","sd",0
"SIM_my_test_sim_20231114_144219","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144219","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144219","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144219","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144219","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144219","W.r","fixed_value",10
"SIM_my_test_sim_20231114_144219","area.m2","mean",1
"SIM_my_test_sim_20231114_144219","JL","mean",20000
"SIM_my_test_sim_20231114_144219","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144219","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144219","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144219","m","mean",0.05
"SIM_my_test_sim_20231114_144219","area.m2","sd",0
"SIM_my_test_sim_20231114_144219","JL","sd",0
"SIM_my_test_sim_20231114_144219","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144219","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144219","IL","sd",0
"SIM_my_test_sim_20231114_144219","m","sd",0
"SIM_my_test_sim_20231114_144219","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144219","trait.Ef","mean",0.463730625761673
"SIM_my_test_sim_20231114_144219","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20231114_144219","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144219","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144219","trait.Ef","sd",0.293656143922129
"SIM_my_test_sim_20231114_144219","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144219","regional.RA","sd",0
"SIM_my_test_sim_20231114_144243","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144243","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144243","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144243","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144243","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144243","W.r","fixed_value",1000
"SIM_my_test_sim_20231114_144243","area.m2","mean",1
"SIM_my_test_sim_20231114_144243","JL","mean",20000
"SIM_my_test_sim_20231114_144243","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144243","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144243","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144243","m","mean",0.05
"SIM_my_test_sim_20231114_144243","area.m2","sd",0
"SIM_my_test_sim_20231114_144243","JL","sd",0
"SIM_my_test_sim_20231114_144243","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144243","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144243","IL","sd",0
"SIM_my_test_sim_20231114_144243","m","sd",0
"SIM_my_test_sim_20231114_144243","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144243","trait.Ef","mean",0.463730625761673
"SIM_my_test_sim_20231114_144243","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20231114_144243","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144243","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144243","trait.Ef","sd",0.293656143922129
"SIM_my_test_sim_20231114_144243","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144243","regional.RA","sd",0
"SIM_my_test_sim_20231114_144305","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144305","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144305","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144305","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144305","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144305","W.r","fixed_value",5e+06
"SIM_my_test_sim_20231114_144305","area.m2","mean",1
"SIM_my_test_sim_20231114_144305","JL","mean",20000
"SIM_my_test_sim_20231114_144305","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144305","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144305","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144305","m","mean",0.05
"SIM_my_test_sim_20231114_144305","area.m2","sd",0
"SIM_my_test_sim_20231114_144305","JL","sd",0
"SIM_my_test_sim_20231114_144305","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144305","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144305","IL","sd",0
"SIM_my_test_sim_20231114_144305","m","sd",0
"SIM_my_test_sim_20231114_144305","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144305","trait.Ef","mean",0.463730625761673
"SIM_my_test_sim_20231114_144305","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20231114_144305","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144305","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144305","trait.Ef","sd",0.293656143922129
"SIM_my_test_sim_20231114_144305","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144305","regional.RA","sd",0
"SIM_my_test_sim_20231114_144329","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144329","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144329","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144329","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144329","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144329","W.r","fixed_value",0
"SIM_my_test_sim_20231114_144329","area.m2","mean",1
"SIM_my_test_sim_20231114_144329","JL","mean",20000
"SIM_my_test_sim_20231114_144329","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144329","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144329","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144329","m","mean",0.05
"SIM_my_test_sim_20231114_144329","area.m2","sd",0
"SIM_my_test_sim_20231114_144329","JL","sd",0
"SIM_my_test_sim_20231114_144329","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144329","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144329","IL","sd",0
"SIM_my_test_sim_20231114_144329","m","sd",0
"SIM_my_test_sim_20231114_144329","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144329","trait.Ef","mean",0.529243785445578
"SIM_my_test_sim_20231114_144329","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20231114_144329","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144329","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144329","trait.Ef","sd",0.337765958848246
"SIM_my_test_sim_20231114_144329","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144329","regional.RA","sd",0
"SIM_my_test_sim_20231114_144353","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144353","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144353","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144353","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144353","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144353","W.r","fixed_value",2
"SIM_my_test_sim_20231114_144353","area.m2","mean",1
"SIM_my_test_sim_20231114_144353","JL","mean",20000
"SIM_my_test_sim_20231114_144353","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144353","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144353","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144353","m","mean",0.05
"SIM_my_test_sim_20231114_144353","area.m2","sd",0
"SIM_my_test_sim_20231114_144353","JL","sd",0
"SIM_my_test_sim_20231114_144353","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144353","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144353","IL","sd",0
"SIM_my_test_sim_20231114_144353","m","sd",0
"SIM_my_test_sim_20231114_144353","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144353","trait.Ef","mean",0.529243785445578
"SIM_my_test_sim_20231114_144353","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20231114_144353","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144353","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144353","trait.Ef","sd",0.337765958848246
"SIM_my_test_sim_20231114_144353","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144353","regional.RA","sd",0
"SIM_my_test_sim_20231114_144418","n.sites","fixed_value",50
"SIM_my_test_sim_20231114_144418","n.timestep","fixed_value",100
"SIM_my_test_sim_20231114_144418","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20231114_144418","nu.sim","fixed_value",0
"SIM_my_test_sim_20231114_144418","JM","fixed_value",1e+06
"SIM_my_test_sim_20231114_144418","W.r","fixed_value",5
"SIM_my_test_sim_20231114_144418","area.m2","mean",1
"SIM_my_test_sim_20231114_144418","JL","mean",20000
"SIM_my_test_sim_20231114_144418","Ef","mean",0.480464571216144
"SIM_my_test_sim_20231114_144418","Ef.specificity","mean",0
"SIM_my_test_sim_20231114_144418","IL","mean",1052.57894736842
"SIM_my_test_sim_20231114_144418","m","mean",0.05
"SIM_my_test_sim_20231114_144418","area.m2","sd",0
"SIM_my_test_sim_20231114_144418","JL","sd",0
"SIM_my_test_sim_20231114_144418","Ef","sd",0.265521145574499
"SIM_my_test_sim_20231114_144418","Ef.specificity","sd",0
"SIM_my_test_sim_20231114_144418","IL","sd",0
"SIM_my_test_sim_20231114_144418","m","sd",0
"SIM_my_test_sim_20231114_144418","trait.dispersal","mean",1
"SIM_my_test_sim_20231114_144418","trait.Ef","mean",0.529243785445578
"SIM_my_test_sim_20231114_144418","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20231114_144418","regional.RA","mean",0.1
"SIM_my_test_sim_20231114_144418","trait.dispersal","sd",0
"SIM_my_test_sim_20231114_144418","trait.Ef","sd",0.337765958848246
"SIM_my_test_sim_20231114_144418","trait.Ef.sd","sd",0
"SIM_my_test_sim_20231114_144418","regional.RA","sd",0
